dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/short,PatchFM,82.8136005704365,82.8136005704365,5.460950700063554,0.5471186881480004,0.48421818575413106,0.6862804143890634,3.586584963095105,9.10019783139007,0.4905239947372359,0.2943592438417462,0.23154283927852484,Web/CloudOps,7
bizitobs_l2c/H/medium,PatchFM,116.21761532738095,116.21761532738095,6.435586983816965,0.6700956302863954,0.5586829384404798,0.8795624596687928,8.330225935843432,10.780427418585079,0.6527712547242618,0.38968456696540704,0.3222532897607368,Web/CloudOps,7
bizitobs_l2c/H/long,PatchFM,125.72919146825397,125.72919146825397,6.6413163442460315,0.7142510788567625,0.7165929166463534,0.8253558792034721,8.452852476126811,11.21290290104458,0.68491647162649,0.4056707703259051,0.3323651591574193,Web/CloudOps,7
electricity/D/short,PatchFM,1178903413.7703784,1178903413.7703784,4071.2728141891894,1.3879860769387888,0.30107479194886366,0.09417820346012187,11.382825093906371,34335.16293496185,0.5642407689562857,0.06690453479601295,0.05283462232587075,Energy,1
hierarchical_sales/W/short,PatchFM,465.14448935298594,465.14448935298594,9.000690136925648,0.7256184129485808,0.5232741537708804,0.46092186926149664,6.60475331775425,21.567208659281476,0.9901610988540234,0.4132260867512645,0.34576803769815034,Sales,1
us_births/M/short,PatchFM,55039376.0,55039376.0,6202.27734375,0.7023743832189382,0.01898689568042755,0.01921798947418051,3.7710310355855925,7418.852741495817,0.023042906033987023,0.01926423114309479,0.014055525602852788,Healthcare,1
m4_weekly/W/short,PatchFM,229538.46153846153,229538.46153846153,251.0213399935719,2.0513381981161936,0.061387876179991224,0.06042121069867498,14.96966046429155,479.10172358118433,0.08728490412364028,0.045732195306147534,0.03640284505603189,Econ/Fin,1
kdd_cup_2018/H/short,PatchFM,4329.834981802041,4329.834981802041,22.649267427929445,0.9504747897098443,0.8641229138141432,0.5032739340546661,8.100055622402568,65.801481607955,1.3773441804834832,0.474090186448041,0.38270305505508084,Nature,1
kdd_cup_2018/H/medium,PatchFM,5019.270220015534,5019.270220015534,24.855083443765277,1.0532393880991362,1.0003874500371943,0.5575118654533494,18.05513497200196,70.84680811451942,1.4829520161534364,0.5202619156111243,0.45513424957792936,Nature,1
kdd_cup_2018/H/long,PatchFM,3855.752856205436,3855.752856205436,24.347893649190596,1.0717630461255305,1.1850504588290016,0.6205690896310045,20.02990383028719,62.09470876174101,1.4569927888402978,0.5712999735039991,0.5017016729181558,Nature,1
