dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,TW3Cast,3700175.104671016,3700175.104671016,362.85714874627695,0.8542936526208874,3.627136705213096,0.8208808255668651,17.357263691423967,1923.5839219204904,5.083458003219628,0.9589231100341667,0.7245149987141634,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TW3Cast,4668351.3367992155,4668351.3367992155,317.56028431998425,0.9325620747305388,3.243813193749564,0.7860258674319951,52.36194956907793,2160.6367896523507,6.5646116901116685,0.9648359061300528,0.724003222437298,Web/CloudOps,2
bitbrains_fast_storage/5T/short,TW3Cast,1754708.9860323414,1754708.9860323414,162.28178760097776,0.6316719904669554,2.1801947275234457,0.7306670990200453,12.760360504471498,1324.6542892514792,4.159086911843508,0.5095246845297157,0.393777629628759,Web/CloudOps,2
bitbrains_fast_storage/H/short,TW3Cast,2713931.1818625815,2713931.1818625815,266.87882254153493,0.8912486220714778,3.1477374913740324,0.561124609003483,18.367848815986193,1647.4013420725933,4.695628834859883,0.7606913157924718,0.5936848345390751,Web/CloudOps,2
bitbrains_rnd/5T/long,TW3Cast,2993992.518283406,2993992.518283406,216.12451064751235,3.2941836083907705,2.8271574367044767,0.703219090837213,115.80559205778962,1730.315727918869,6.628450007921856,0.8279243442100763,0.7000027600558845,Web/CloudOps,2
bitbrains_rnd/5T/medium,TW3Cast,2345547.8239383292,2345547.8239383292,163.9178146298297,4.348727219655178,1.057385704625202,0.7196398221259795,159.43917699615406,1531.51814352241,6.443876697170184,0.6896857150610478,0.6389943333380795,Web/CloudOps,2
bitbrains_rnd/5T/short,TW3Cast,1586273.7329872092,1586273.7329872092,117.81488619200454,1.5903734522202864,1.1317168718684505,0.6495910232579235,51.12207483790084,1259.47359360457,5.153402334714839,0.4820645011130435,0.3846729448807542,Web/CloudOps,2
bitbrains_rnd/H/short,TW3Cast,1911545.6384638336,1911545.6384638336,157.226737990708,5.625787048181589,1.4638335344822282,0.5563324340128298,193.99699535735348,1382.5865753954918,6.050875574508191,0.6881011616183498,0.6380705369126286,Web/CloudOps,2
bizitobs_application/10S/short,TW3Cast,334227.52,334227.52,311.2790277777778,0.9314665444493568,0.0134583801693386,0.0136023563808865,5.557305556750819,578.1241389182777,0.0222959372098529,0.012004787883556,0.0091270391096827,Web/CloudOps,2
bizitobs_l2c/5T/long,TW3Cast,56.66336805555556,56.66336805555556,4.8230096726190474,0.4894592059620953,0.4321122231639662,0.7127477833581349,6.283393522104722,7.527507426469638,0.4226582883524519,0.2708047827051464,0.2292658886717962,Web/CloudOps,7
